통화명,매매기준율,현찰,현찰,송금,송금,미화환산율
통화명,매매기준율,사실 때,파실 때,보내실 때,받으실 때,미화환산율
미국 USD,1434.2,1459.29,1409.11,1448.2,1420.2,1.0
유럽연합 EUR,1589.24,1620.86,1557.62,1605.13,1573.35,1.108
일본 JPY (100엔),983.2,1000.4,966.0,992.83,973.57,0.686
중국 CNY,197.84,207.73,187.95,199.81,195.87,0.138
홍콩 HKD,184.49,188.12,180.86,186.33,182.65,0.129
대만 TWD,43.62,49.33,39.26,,,0.03
영국 GBP,1878.08,1915.07,1841.09,1896.86,1859.3,1.31
오만 OMR,3725.58,3986.37,3464.79,,,2.598
캐나다 CAD,1017.99,1038.04,997.94,1028.16,1007.82,0.71
스위스 CHF,1677.72,1710.77,1644.67,1694.49,1660.95,1.17
스웨덴 SEK,146.74,151.58,138.38,148.2,145.28,0.102
호주 AUD,895.94,913.59,878.29,904.89,886.99,0.625
뉴질랜드 NZD,821.44,837.62,805.26,829.65,813.23,0.573
체코 CZK,63.38,68.76,57.68,64.07,62.69,0.044
칠레 CLP,1.51,1.66,1.36,,,0.001
튀르키예 TRY,37.74,,,38.15,37.33,0.026
몽골 MNT,0.41,,,,,0.0
이스라엘 ILS,387.95,426.74,356.92,,,0.271
덴마크 DKK,213.0,220.02,200.86,215.13,210.87,0.149
노르웨이 NOK,138.6,143.17,130.7,139.98,137.22,0.097
사우디아라비아 SAR,382.29,406.37,355.92,386.11,378.47,0.267
쿠웨이트 KWD,4662.55,4965.61,4289.55,4709.17,4615.93,3.251
바레인 BHD,3804.55,4048.04,3500.19,3842.59,3766.51,2.653
아랍에미리트 AED,390.47,411.94,363.53,394.37,386.57,0.272
요르단 JOD,2022.85,2202.88,1861.03,,,1.41
이집트 EGP,28.35,,,,,0.02
태국 THB,42.06,44.16,39.54,42.48,41.64,0.029
싱가포르 SGD,1076.12,1097.53,1054.71,1086.88,1065.36,0.75
말레이시아 MYR,324.3,348.29,300.31,,321.06,0.226
인도네시아 IDR 100,8.66,9.52,7.8,8.74,8.58,0.006
카타르 QAR,393.44,,,,,0.274
카자흐스탄 KZT,2.85,,,,,0.002
브루나이 BND,1076.12,1119.16,1011.56,,,0.75
인도 INR,16.84,,,17.03,16.65,0.012
파키스탄 PKR,5.12,,,,,0.004
방글라데시 BDT,11.8,,,,,0.008
필리핀 PHP,25.24,27.76,23.18,25.49,24.99,0.018
멕시코 MXN,71.85,79.39,64.31,72.56,71.14,0.05
브라질 BRL,254.62,280.59,229.16,,251.57,0.178
베트남 VND 100,5.57,6.22,4.92,5.62,5.52,0.004
남아프리카 공화국 ZAR,76.06,82.14,69.98,76.97,75.15,0.053
러시아 RUB,17.02,18.63,14.05,17.61,16.43,0.012
헝가리 HUF,3.94,4.3,3.63,3.98,3.9,0.003
폴란드 PLN,375.7,405.75,345.65,379.83,371.57,0.262
스리랑카 LKR,4.84,,,,,0.003
알제리 DZD,10.79,,,,,0.008
케냐 KES,11.1,,,,,0.008
콜롬비아 COP,0.35,,,,,0.0
탄자니아 TZS,0.54,,,,,0.0
